"GEOID","NAME","variable","estimate","moe"
"05001","Arkansas County, Arkansas","B01003_001",16515,NA
"05003","Ashley County, Arkansas","B01003_001",18429,NA
"05005","Baxter County, Arkansas","B01003_001",42407,NA
"05007","Benton County, Arkansas","B01003_001",303632,NA
"05009","Boone County, Arkansas","B01003_001",38138,NA
"05011","Bradley County, Arkansas","B01003_001",10208,NA
"05013","Calhoun County, Arkansas","B01003_001",4704,NA
"05015","Carroll County, Arkansas","B01003_001",28626,NA
"05017","Chicot County, Arkansas","B01003_001",9765,NA
"05019","Clark County, Arkansas","B01003_001",21125,NA
"05021","Clay County, Arkansas","B01003_001",14280,NA
"05023","Cleburne County, Arkansas","B01003_001",25226,NA
"05025","Cleveland County, Arkansas","B01003_001",7453,NA
"05027","Columbia County, Arkansas","B01003_001",22349,NA
"05029","Conway County, Arkansas","B01003_001",21054,NA
"05031","Craighead County, Arkansas","B01003_001",113249,NA
"05033","Crawford County, Arkansas","B01003_001",61139,NA
"05035","Crittenden County, Arkansas","B01003_001",47266,NA
"05037","Cross County, Arkansas","B01003_001",16543,NA
"05039","Dallas County, Arkansas","B01003_001",6242,NA
"05041","Desha County, Arkansas","B01003_001",10786,NA
"05043","Drew County, Arkansas","B01003_001",17046,NA
"05045","Faulkner County, Arkansas","B01003_001",127717,NA
"05047","Franklin County, Arkansas","B01003_001",17326,NA
"05049","Fulton County, Arkansas","B01003_001",12302,NA
"05051","Garland County, Arkansas","B01003_001",100035,NA
"05053","Grant County, Arkansas","B01003_001",18242,NA
"05055","Greene County, Arkansas","B01003_001",46432,NA
"05057","Hempstead County, Arkansas","B01003_001",19508,NA
"05059","Hot Spring County, Arkansas","B01003_001",33180,NA
"05061","Howard County, Arkansas","B01003_001",12583,NA
"05063","Independence County, Arkansas","B01003_001",38175,NA
"05065","Izard County, Arkansas","B01003_001",14009,NA
"05067","Jackson County, Arkansas","B01003_001",16712,NA
"05069","Jefferson County, Arkansas","B01003_001",64802,NA
"05071","Johnson County, Arkansas","B01003_001",26003,NA
"05073","Lafayette County, Arkansas","B01003_001",6136,NA
"05075","Lawrence County, Arkansas","B01003_001",16238,NA
"05077","Lee County, Arkansas","B01003_001",8359,NA
"05079","Lincoln County, Arkansas","B01003_001",12950,NA
"05081","Little River County, Arkansas","B01003_001",11821,NA
"05083","Logan County, Arkansas","B01003_001",21277,NA
"05085","Lonoke County, Arkansas","B01003_001",75272,NA
"05087","Madison County, Arkansas","B01003_001",17329,NA
"05089","Marion County, Arkansas","B01003_001",17228,NA
"05091","Miller County, Arkansas","B01003_001",42360,NA
"05093","Mississippi County, Arkansas","B01003_001",39126,NA
"05095","Monroe County, Arkansas","B01003_001",6589,NA
"05097","Montgomery County, Arkansas","B01003_001",8553,NA
"05099","Nevada County, Arkansas","B01003_001",8159,NA
"05101","Newton County, Arkansas","B01003_001",7112,NA
"05103","Ouachita County, Arkansas","B01003_001",22085,NA
"05105","Perry County, Arkansas","B01003_001",10101,NA
"05107","Phillips County, Arkansas","B01003_001",15450,NA
"05109","Pike County, Arkansas","B01003_001",10115,NA
"05111","Poinsett County, Arkansas","B01003_001",22543,NA
"05113","Polk County, Arkansas","B01003_001",19361,NA
"05115","Pope County, Arkansas","B01003_001",64131,NA
"05117","Prairie County, Arkansas","B01003_001",8064,NA
"05119","Pulaski County, Arkansas","B01003_001",399818,NA
"05121","Randolph County, Arkansas","B01003_001",18838,NA
"05123","St. Francis County, Arkansas","B01003_001",22400,NA
"05125","Saline County, Arkansas","B01003_001",127479,NA
"05127","Scott County, Arkansas","B01003_001",9816,NA
"05129","Searcy County, Arkansas","B01003_001",7859,NA
"05131","Sebastian County, Arkansas","B01003_001",128900,NA
"05133","Sevier County, Arkansas","B01003_001",15712,NA
"05135","Sharp County, Arkansas","B01003_001",17773,NA
"05137","Stone County, Arkansas","B01003_001",12568,NA
"05139","Union County, Arkansas","B01003_001",37900,NA
"05141","Van Buren County, Arkansas","B01003_001",15998,NA
"05143","Washington County, Arkansas","B01003_001",256765,NA
"05145","White County, Arkansas","B01003_001",77838,NA
"05147","Woodruff County, Arkansas","B01003_001",6026,NA
"05149","Yell County, Arkansas","B01003_001",20134,NA
"06001","Alameda County, California","B01003_001",1649473,NA
"06003","Alpine County, California","B01003_001",1616,239
"06005","Amador County, California","B01003_001",41428,NA
"06007","Butte County, California","B01003_001",207929,NA
"06009","Calaveras County, California","B01003_001",46248,NA
"06011","Colusa County, California","B01003_001",21984,NA
"06013","Contra Costa County, California","B01003_001",1165012,NA
"06015","Del Norte County, California","B01003_001",27107,NA
"06017","El Dorado County, California","B01003_001",192662,NA
"06019","Fresno County, California","B01003_001",1016725,NA
"06021","Glenn County, California","B01003_001",28494,NA
"06023","Humboldt County, California","B01003_001",134541,NA
"06025","Imperial County, California","B01003_001",180202,NA
"06027","Inyo County, California","B01003_001",18739,NA
"06029","Kern County, California","B01003_001",915075,NA
"06031","Kings County, California","B01003_001",153298,NA
"06033","Lake County, California","B01003_001",68152,NA
"06035","Lassen County, California","B01003_001",30356,NA
"06037","Los Angeles County, California","B01003_001",9808667,NA
"06039","Madera County, California","B01003_001",160940,NA
"06041","Marin County, California","B01003_001",257969,NA
"06043","Mariposa County, California","B01003_001",17082,NA
"06045","Mendocino County, California","B01003_001",90244,NA
"06047","Merced County, California","B01003_001",290201,NA
"06049","Modoc County, California","B01003_001",8600,NA
"06051","Mono County, California","B01003_001",13148,NA
